"id","adult","backdrop_path","genre_ids","original_language","original_title","overview","popularity","poster_path","release_date","title","video","vote_average","vote_count"
2604,False,"/gjZFMKtoJdpEDt3T0dnoiMfXYof.jpg","{18,10752}","en","Born on the Fourth of July","Paralyzed in the Vietnam war, Ron Kovic becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for.","19.05","/k5HfnMgaREHDNA7CugiETCb9ItM.jpg","1989-12-20","Born on the Fourth of July",False,"7.0",1559
35,False,"/yajM2akz8QKOx0RdvN6OYaxe3GN.jpg","{16,35,10751}","en","The Simpsons Movie","After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.","63.658","/gzb6P78zeFTnv9eoFYnaJ2YrZ5q.jpg","2007-07-25","The Simpsons Movie",False,"6.999",7512
528888,False,"/8FuiFasbeFQj24Vqx6JqSCqj5lO.jpg","{18,35,36}","en","Dolemite Is My Name","The story of Rudy Ray Moore, who created the iconic big screen pimp character Dolemite in the 1970s.","13.612","/uoAqJg7ZSmftnBGOkupU1ySZQU0.jpg","2019-10-04","Dolemite Is My Name",False,"7.0",1076
24253,False,"/rQ5IqaZ1MAJiVnrGttqEoaZTMth.jpg","{18,28,53,80,9648}","sv","Flickan som lekte med elden","Mikael Blomkvist, publisher of Millennium magazine, has made his living exposing the crooked and corrupt practices of establishment Swedish figures. So when a young journalist approaches him with a meticulously researched thesis about sex trafficking in Sweden and those in high office who abuse underage girls, Blomkvist immediately throws himself into the investigation.","20.291","/A8UjhPjINIBgmoH37aqt40u53PQ.jpg","2009-09-18","The Girl Who Played with Fire",False,"7.0",1528
4886,False,"/cycVBwyIC6hjlAYB4s78nJlFnZT.jpg","{80,18,9648}","en","And Then There Were None","Ten strangers are summoned to a remote island and while they are waiting for the mysterious host to appear, a recording levels serious accusations at each of the guests. Soon they start being murdered, one by one. As the survivors try to keep their wits, they reach a disturbing conclusion: one of them must be the killer.","14.853","/maV1jQZ58NZIjwRbdtmRcaW3fZo.jpg","1945-10-31","And Then There Were None",False,"7.0",331
909,False,"/fQ93o3wVSIe0dXMLTVTBHoqWwew.jpg","{35,18,10749,10751}","en","Meet Me in St. Louis","The life of a St. Louis family in the year before the 1904 St. Louis World's Fair.","15.346","/ekVeUvG81pidsv2LMtWf5yYcNbq.jpg","1944-11-28","Meet Me in St. Louis",False,"7.0",331
605886,False,"/T5xXoFqyc9jNXZIbH4Sw0jwWjw.jpg","{53}","en","To Catch a Killer","Baltimore. New Year's Eve. A talented but troubled police officer is recruited by the FBI's chief investigator to help profile and track down a mass murderer.","46.811","/mFp3l4lZg1NSEsyxKrdi0rNK8r1.jpg","2023-04-06","To Catch a Killer",False,"6.993",610
597208,False,"/g0YNGpmlXsgHfhGnJz3c5uyzZ1B.jpg","{80,53,18}","en","Nightmare Alley","An ambitious carnival man with a talent for manipulating people with a few well-chosen words hooks up with a female psychologist who is even more dangerous than he is.","42.926","/680klE0dIreQQOyWKFgNnCAJtws.jpg","2021-12-02","Nightmare Alley",False,"6.998",2589
585083,False,"/ep1urICLqtwwV1sTPHP9WXV4Uto.jpg","{16,35,10751,12,14}","en","Hotel Transylvania: Transformania","When Van Helsing's mysterious invention, the ""Monsterfication Ray,"" goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac and Johnny must team up and race across the globe to find a cure before it's too late, and before they drive each other crazy.","87.316","/teCy1egGQa0y8ULJvlrDHQKnxBL.jpg","2022-02-25","Hotel Transylvania: Transformania",False,"7.0",1691
525686,False,"/jAUHbAiTgoJvFAUaOp0wHWt0RPf.jpg","{35}","es","Mi prima la sexóloga","A young man is afraid of asking for sex tips to his cousin, the sexologist.","9.626","/uWK3hKEHq0lfsKjgp07nQHuDqpO.jpg","2016-07-20","Mi prima la sexóloga",False,"7.0",346
12783,False,"/qY6jnp4cNUYMz6FBG7ATtVmWttM.jpg","{18,36,10749}","en","The Duchess","A chronicle of the life of 18th century aristocrat Georgiana, Duchess of Devonshire, who was reviled for her extravagant political and personal life.","13.761","/77ckyYrWmR12kl3qToqmDySnuwv.jpg","2008-09-05","The Duchess",False,"7.0",1594
11121,False,"/hEVAABU2c86MU42jlnGRM9FcCq5.jpg","{18,10749}","en","Tess","A strong-willed peasant girl is sent by her father to the estate of some local aristocrats to capitalize on a rumor that their families are from the same line, but is left traumatised from her experiences.","17.995","/xejUFnoAVxzvU95o2jlzG2USmY.jpg","1979-10-06","Tess",False,"6.997",302
